signal,r,g,b
0,0.012102331,0.025250083,0.029135957
0.003921569,0.003383109,0.001787316,0.005644376
0.007843137,0.001597429,0.000857498,0.005069978
0.011764706,0.000996352,0.000678323,0.004806513
0.015686275,0.001272339,0.000677514,0.006145627
0.019607843,0.001122823,0.000679908,0.008224723
0.023529412,0.001000055,0.00070297,0.007498398
0.02745098,0.000720297,0.000711943,0.005640673
0.031372549,0.000956859,0.000833075,0.005065259
0.035294118,0.001090822,0.000966177,0.004010279
0.039215686,0.001006049,0.001038773,0.004280117
0.043137255,0.000844925,0.00108314,0.004237868
0.047058824,0.001206666,0.001146557,0.004616523
0.050980392,0.000936208,0.001180969,0.004878989
0.054901961,0.001120343,0.001320478,0.00512027
0.058823529,0.001302428,0.00151672,0.005491416
0.062745098,0.001455044,0.001546672,0.005838225
0.066666667,0.001133467,0.001790296,0.006109199
0.070588235,0.001501891,0.002042204,0.00653167
0.074509804,0.001676639,0.001945357,0.006873209
0.078431373,0.001942447,0.001987055,0.007354532
0.082352941,0.001601476,0.002128906,0.007407666
0.08627451,0.001711361,0.002610247,0.008137263
0.090196078,0.002128992,0.00305838,0.008527354
0.094117647,0.001946959,0.003504189,0.008977968
0.098039216,0.002394145,0.003887167,0.010044298
0.101960784,0.002777382,0.003903236,0.010671176
0.105882353,0.00293978,0.003621617,0.012228492
0.109803922,0.002576885,0.004314718,0.009615713
0.11372549,0.002565035,0.005087856,0.011813771
0.117647059,0.003618999,0.005477603,0.011103481
0.121568627,0.00303239,0.005852606,0.011041098
0.125490196,0.003903391,0.005739983,0.012402309
0.129411765,0.004283458,0.006314088,0.011343006
0.133333333,0.004328049,0.004470865,0.013434279
0.137254902,0.003875868,0.006282242,0.010742928
0.141176471,0.00471616,0.007016576,0.013053127
0.145098039,0.00542049,0.007580071,0.011026062
0.149019608,0.004409274,0.00764428,0.012875692
0.152941176,0.005332393,0.006027199,0.01095102
0.156862745,0.005705381,0.005978509,0.012681086
0.160784314,0.005508364,0.005467148,0.010178899
0.164705882,0.005630477,0.006203204,0.010101049
0.168627451,0.006332121,0.007259252,0.009137043
0.17254902,0.006934644,0.007763035,0.008223328
0.176470588,0.007616619,0.007832445,0.008941954
0.180392157,0.00740925,0.006847477,0.00855889
0.184313725,0.008974558,0.006888899,0.009398699
0.188235294,0.007084883,0.006204358,0.009643701
0.192156863,0.008181269,0.007337343,0.008244771
0.196078431,0.008293496,0.008081391,0.009522673
0.2,0.009154421,0.008253159,0.006030902
0.203921569,0.009349441,0.007812913,0.00880787
0.207843137,0.008846864,0.00705817,0.007348366
0.211764706,0.010260916,0.006942016,0.008029824
0.215686275,0.009736896,0.006100639,0.008289362
0.219607843,0.009596888,0.006913029,0.007472667
0.223529412,0.010574897,0.007965323,0.008587705
0.22745098,0.011857226,0.007696639,0.005476173
0.231372549,0.011772831,0.007190755,0.007222928
0.235294118,0.007765635,0.007240531,0.005666939
0.239215686,0.012256652,0.006515635,0.006367601
0.243137255,0.012341046,0.006059648,0.006414569
0.247058824,0.012588821,0.006696308,0.00508436
0.250980392,0.014853602,0.008248336,0.006449997
0.254901961,0.016123202,0.008511526,0.005813475
0.258823529,0.016694293,0.008774319,0.006957517
0.262745098,0.010880611,0.008834687,0.005504678
0.266666667,0.017561384,0.008169488,0.007347815
0.270588235,0.016954486,0.008001922,0.007043565
0.274509804,0.015413498,0.008033682,0.007416295
0.278431373,0.016281054,0.008854115,0.00829415
0.282352941,0.014573137,0.009981261,0.008517227
0.28627451,0.015083981,0.009909956,0.008710662
0.290196078,0.011274957,0.009987065,0.007186002
0.294117647,0.016535976,0.01047235,0.007211871
0.298039216,0.015045073,0.009023334,0.006656419
0.301960784,0.015473693,0.007277871,0.007549259
0.305882353,0.01666987,0.009429167,0.007825107
0.309803922,0.019627339,0.010798284,0.007110167
0.31372549,0.016998491,0.010577498,0.007891848
0.317647059,0.018645231,0.011457438,0.004903343
0.321568627,0.012973659,0.010875358,0.006813375
0.325490196,0.01604518,0.0093719,0.005021064
0.329411765,0.009034392,0.010393398,0.006286031
0.333333333,0.010858152,0.013532917,0.005458795
0.337254902,0.012709711,0.015421868,0.005929732
0.341176471,0.010392709,0.017147232,0.006367136
0.345098039,0.009181083,0.019685158,0.006034002
0.349019608,0.009736535,0.020685023,0.006532049
0.352941176,0.008723786,0.017075686,0.004650556
0.356862745,0.007506149,0.012303,0.00580147
0.360784314,0.009152836,0.014911541,0.004001082
0.364705882,0.008980259,0.016407817,0.004997864
0.368627451,0.010118565,0.016556145,0.004399474
0.37254902,0.007551859,0.017048628,0.005037547
0.376470588,0.008378941,0.014722911,0.004492222
0.380392157,0.008870925,0.011554698,0.004467386
0.384313725,0.00667626,0.009010675,0.005438161
0.388235294,0.00717491,0.01087913,0.00467863
0.392156863,0.007529073,0.011717854,0.006000589
0.396078431,0.007770234,0.01287769,0.005767471
0.4,0.007072259,0.012496228,0.00616161
0.403921569,0.007744898,0.012145372,0.006698495
0.407843137,0.007089895,0.012875916,0.005922705
0.411764706,0.006717923,0.011430035,0.007713586
0.415686275,0.005674362,0.009334508,0.006383205
0.419607843,0.005692378,0.0073747,0.00842162
0.423529412,0.005790068,0.008147769,0.008543286
0.42745098,0.004658461,0.008290706,0.010244192
0.431372549,0.005452405,0.008772304,0.008316041
0.435294118,0.006015091,0.006677087,0.009987875
0.439215686,0.006637559,0.006563413,0.007908537
0.443137255,0.006166605,0.007419171,0.008102834
0.447058824,0.006950163,0.006144817,0.004648282
0.450980392,0.005652971,0.007284691,0.007707197
0.454901961,0.005155802,0.006792535,0.005349168
0.458823529,0.005409967,0.006535597,0.004059434
0.462745098,0.005667731,0.005135461,0.003653532
0.466666667,0.005703779,0.003463025,0.002934544
0.470588235,0.004919292,0.003936959,0.003343375
0.474509804,0.005397807,0.004415544,0.003031116
0.478431373,0.005831955,0.003934686,0.003729074
0.482352941,0.004263703,0.003832465,0.003682571
0.48627451,0.005259004,0.003834635,0.00387778
0.490196078,0.004063447,0.003854632,0.003588704
0.494117647,0.004411651,0.001991791,0.003109585
0.498039216,0.003395871,0.003422171,0.003154331
0.501960784,0.003356774,0.003486604,0.003781674
0.505882353,0.003083457,0.004722033,0.004153353
0.509803922,0.002387204,0.004665196,0.004911093
0.51372549,0.002896274,0.004545752,0.003745315
0.517647059,0.002532432,0.003247699,0.003184179
0.521568627,0.003177686,0.0027728,0.00306849
0.525490196,0.002992708,0.002719563,0.002907332
0.529411765,0.002989969,0.003783947,0.002547571
0.533333333,0.004035459,0.003839837,0.002334639
0.537254902,0.002895981,0.003298714,0.001907587
0.541176471,0.004003631,0.00297452,0.002602909
0.545098039,0.003838562,0.001906191,0.002654304
0.549019608,0.00342038,0.001186343,0.002037795
0.552941176,0.002091308,0.001316448,0.002240772
0.556862745,0.001614652,0.001467996,0.00235851
0.560784314,0.001662102,0.001506851,0.003552276
0.564705882,0.001290819,0.001447414,0.003026431
0.568627451,0.001279159,0.001320099,0.002010858
0.57254902,0.001237961,0.001181555,0.001840088
0.576470588,0.001203032,0.000640794,0.001582565
0.580392157,0.000488006,0.000912354,0.001623143
0.584313725,0.000948265,0.000849575,0.001429381
0.588235294,0.000938688,0.000805363,0.000976166
0.592156863,0.000713648,0.000743841,0.001206167
0.596078431,0.000564133,0.000702712,0.000770503
0.6,0.00065533,0.000680528,0.000859788
0.603921569,0.000590106,0.000487472,0.000729632
0.607843137,0.000461396,0.000532339,0.000602989
0.611764706,0.000434717,0.000567577,0.000510448
0.615686275,0.000562962,0.000549579,0.000339782
0.619607843,0.000423539,0.000453094,0.00033706
0.623529412,0.000405558,0.000329344,0.000228967
0.62745098,0.00034767,0.000230362,0.000293813
0.631372549,0.000312138,0.000181344,0.000246362
0.635294118,0.000291711,0.000171475,0.000197483
0.639215686,0.000271663,0.000195812,0.000262862
0.643137255,0.000302786,0.000187941,0.000237475
0.647058824,0.000234168,0.000183446,0.000242108
0.650980392,0.000150394,0.000163415,0.000142919
0.654901961,0.000410191,0.000148551,0.000286768
0.658823529,0.000126144,0.000146192,0.000170253
0.662745098,0.00011314,8.77E-05,0.001015281
0.666666667,9.26E-05,0.000201461,0.000112279
0.670588235,9.69E-05,0.000826444,9.33E-05
0.674509804,0.000194779,0.000189732,0.000198912
0.678431373,0.00077548,3.04E-05,2.83E-05
0.682352941,5.71E-05,1.71E-05,2.38E-05
