seconds,APL',R,G,B
0,30.1,7.6,17.8,0.7
1,30.1,7.6,17.8,0.7
2,30.1,7.6,17.8,0.7
3,29.5,7.2,16.9,0.6
4,29.9,7.3,17.4,0.6
5,20.2,7.7,11.5,2.3
6,20.1,7.6,11.3,2.2
7,23.5,11.7,15.2,3.3
8,23.7,12.1,15.4,3.5
9,22.0,11.1,16.8,4.2
10,22.0,11.1,16.7,4.2
11,22.0,11.1,16.7,4.2
12,22.0,11.1,16.7,4.2
13,27.1,9.3,18.5,3.2
14,26.5,16.6,27.3,5.6
15,26.6,16.8,27.6,5.8
16,26.6,16.8,27.4,5.8
17,20.9,9.9,21.1,2.6
18,20.1,7.0,19.3,1.1
19,20.0,7.0,19.2,1.0
20,19.9,7.2,18.9,1.1
21,18.2,7.6,18.6,1.4
22,19.9,9.1,11.2,4.7
23,19.8,9.0,11.1,4.6
24,17.3,7.2,17.4,1.4
25,19.4,7.7,19.6,1.3
26,20.3,9.0,7.7,3.2
27,16.4,7.2,5.7,2.9
28,19.2,8.6,7.6,3.4
29,21.7,9.2,23.0,1.9
30,21.7,9.2,22.9,1.9
31,20.6,5.8,10.9,1.8
32,20.7,5.9,11.0,1.9
33,19.0,11.3,9.1,5.9
34,17.8,10.9,8.9,6.0
35,16.1,8.3,7.0,4.8
36,16.3,8.6,7.2,4.9
37,15.8,8.4,6.7,4.3
38,21.5,10.8,7.6,6.8
39,21.5,11.9,8.9,7.4
40,21.5,11.6,8.7,7.2
41,22.0,12.8,9.5,8.0
42,26.9,16.6,11.1,9.1
43,29.6,19.5,13.6,11.5
44,23.2,13.5,10.2,9.1
45,23.3,13.6,10.2,9.1
46,22.7,13.1,9.9,8.9
47,23.3,13.5,10.2,9.2
48,23.4,13.7,10.3,9.2
49,21.7,13.2,9.9,6.5
50,21.9,13.2,10.0,6.5
51,21.9,13.3,10.0,6.5
52,20.5,12.4,9.5,6.2
53,20.3,12.2,9.4,6.1
54,22.1,13.9,10.6,6.9
55,17.3,10.4,7.8,6.0
56,17.3,10.4,7.8,5.9
57,23.3,13.6,10.2,9.2
58,23.4,13.8,10.3,9.3
59,23.4,13.7,10.3,9.2
60,23.4,13.7,10.3,9.1
61,23.4,13.7,10.3,9.2
62,23.5,14.0,10.5,9.4
63,23.5,14.0,10.5,9.4
64,23.6,14.0,10.6,9.4
65,23.6,14.1,10.6,9.5
66,23.6,14.1,10.6,9.5
67,23.6,14.2,10.6,9.5
68,23.7,14.2,10.6,9.5
69,18.4,11.6,8.6,6.4
70,19.2,12.4,9.2,6.8
71,19.2,12.4,9.2,6.7
72,19.2,12.4,9.2,6.7
73,19.3,12.5,9.3,6.8
74,27.0,17.1,11.5,9.6
75,20.7,14.5,9.4,7.0
76,20.7,14.5,9.5,7.0
77,20.7,14.6,9.5,7.0
78,20.8,14.6,9.6,7.1
79,17.7,9.6,7.1,6.9
80,17.8,9.5,7.2,6.9
81,18.4,10.1,7.7,7.1
82,18.3,9.9,7.6,6.9
83,18.3,9.9,7.6,7.0
84,18.3,10.1,7.8,7.3
85,18.2,10.0,7.7,7.1
86,18.1,9.9,7.6,6.9
87,18.1,9.9,7.6,6.9
88,23.1,16.4,11.4,8.5
89,23.1,16.5,11.5,8.6
90,23.2,16.8,11.7,8.7
91,23.5,18.0,12.4,8.7
92,23.4,17.2,11.9,8.8
93,23.3,17.1,11.9,8.8
94,23.4,17.1,11.9,8.9
95,23.2,16.9,11.8,8.9
96,19.1,10.8,6.6,2.8
97,20.4,14.6,9.2,4.6
98,18.3,16.0,12.9,12.8
99,18.3,15.6,12.3,11.7
100,14.7,10.3,9.1,9.7
101,12.6,5.7,3.8,2.6
102,17.0,11.0,8.4,5.8
103,17.2,9.4,7.2,5.6
104,21.8,14.4,9.7,7.3
105,21.9,14.7,9.8,7.5
106,11.8,4.2,2.4,1.8
107,15.3,7.6,4.8,2.9
108,19.8,13.3,8.7,5.5
109,12.0,5.4,3.4,2.1
110,21.8,14.7,9.7,8.3
111,17.5,9.9,7.7,6.1
112,17.5,9.9,7.7,6.1
113,17.6,10.0,7.8,6.5
114,17.4,9.9,7.8,6.4
115,17.5,9.9,7.8,6.6
116,17.4,10.0,7.8,6.4
117,30.6,10.1,17.0,19.8
118,30.6,10.2,17.1,19.7
119,30.4,12.9,18.9,22.7
120,31.2,17.6,23.3,27.0
121,30.5,13.7,19.2,22.3
122,33.8,16.6,25.5,28.1
123,33.8,16.6,25.5,27.9
124,33.8,16.6,25.5,28.0
125,33.8,16.7,25.5,28.1
126,33.8,16.8,25.7,28.3
127,33.8,16.7,25.6,28.1
128,33.9,16.8,25.6,28.2
129,33.8,16.7,25.5,28.2
130,33.8,16.7,25.6,28.2
131,33.9,16.8,25.6,28.2
132,33.9,16.8,25.7,28.2
133,31.0,12.7,19.5,24.9
134,30.3,10.0,18.1,15.4
135,29.6,9.6,17.3,12.9
136,28.6,8.6,15.8,10.2
137,28.5,8.5,15.6,9.5
138,31.2,11.7,18.8,18.7
139,31.0,14.1,20.6,22.4
140,33.8,16.7,25.5,28.1
141,33.8,16.6,25.5,28.0
142,33.8,16.6,25.5,28.0
143,33.8,16.6,25.5,27.9
144,33.8,16.6,25.5,28.1
145,33.8,16.7,25.5,28.1
146,28.6,16.6,20.1,17.3
147,30.2,19.2,22.5,22.0
148,34.1,49.2,50.8,72.5
149,34.7,50.4,51.5,73.1
150,33.7,37.6,38.2,52.0
151,33.9,37.8,38.7,52.5
152,33.6,37.2,38.0,51.8
153,28.9,37.3,34.5,37.3
154,29.9,40.7,37.5,40.5
155,30.1,41.8,38.6,41.8
156,28.3,34.4,31.9,34.7
