seconds,APL',R,G,B
0,29.2,9.1,9.1,9.1
1,29.2,9.1,9.1,9.1
2,29.2,9.1,9.1,9.1
3,29.2,9.1,9.1,9.1
4,29.2,9.1,9.1,9.1
5,29.2,9.1,9.1,9.1
6,29.2,9.1,9.1,9.1
7,29.2,9.1,9.1,9.1
8,29.2,9.1,9.1,9.1
9,29.2,9.1,9.1,9.1
10,29.2,9.1,9.1,9.1
11,29.2,9.1,9.1,9.1
12,29.2,9.1,9.1,9.1
13,29.2,9.1,9.1,9.1
14,29.2,9.1,9.1,9.1
15,29.2,9.1,9.1,9.1
16,29.2,9.1,9.1,9.1
17,29.2,9.1,9.1,9.1
18,29.2,9.1,9.1,9.1
19,29.2,9.1,9.1,9.1
20,29.2,9.1,9.1,9.1
21,29.2,9.1,9.1,9.1
22,29.2,9.1,9.1,9.1
23,29.2,9.1,9.1,9.1
24,29.2,9.1,9.1,9.1
25,29.2,9.1,9.1,9.1
26,29.2,9.1,9.1,9.1
27,29.2,9.1,9.1,9.1
28,29.2,9.1,9.1,9.1
29,29.2,9.1,9.1,9.1
30,29.2,9.1,9.1,9.1
31,29.2,9.1,9.1,9.1
32,29.2,9.1,9.1,9.1
33,29.2,9.1,9.1,9.1
34,29.2,9.1,9.1,9.1
35,29.2,9.1,9.1,9.1
36,29.2,9.1,9.1,9.1
37,29.2,9.1,9.1,9.1
38,29.2,9.1,9.1,9.1
39,29.2,9.1,9.1,9.1
40,29.2,9.1,9.1,9.1
41,29.2,9.1,9.1,9.1
42,29.2,9.1,9.1,9.1
43,29.2,9.1,9.1,9.1
44,29.2,9.1,9.1,9.1
45,29.2,9.1,9.1,9.1
46,29.2,9.1,9.1,9.1
47,29.2,9.1,9.1,9.1
48,29.2,9.1,9.1,9.1
49,29.2,9.1,9.1,9.1
50,29.2,9.1,9.1,9.1
51,29.2,9.1,9.1,9.1
52,29.2,9.1,9.1,9.1
53,29.2,9.1,9.1,9.1
54,29.2,9.1,9.1,9.1
55,29.2,9.1,9.1,9.1
56,29.2,9.1,9.1,9.1
57,29.2,9.1,9.1,9.1
58,29.2,9.1,9.1,9.1
59,29.2,9.1,9.1,9.1
60,29.2,9.1,9.1,9.1
61,29.2,9.1,9.1,9.1
62,29.2,9.1,9.1,9.1
63,29.2,9.1,9.1,9.1
64,29.2,9.1,9.1,9.1
65,29.2,9.1,9.1,9.1
66,29.2,9.1,9.1,9.1
67,29.2,9.1,9.1,9.1
68,29.2,9.1,9.1,9.1
69,29.2,9.1,9.1,9.1
70,29.2,9.1,9.1,9.1
71,29.2,9.1,9.1,9.1
72,29.2,9.1,9.1,9.1
73,29.2,9.1,9.1,9.1
74,29.2,9.1,9.1,9.1
75,29.2,9.1,9.1,9.1
76,29.2,9.1,9.1,9.1
77,29.2,9.1,9.1,9.1
78,29.2,9.1,9.1,9.1
79,29.2,9.1,9.1,9.1
80,29.2,9.1,9.1,9.1
81,29.2,9.1,9.1,9.1
82,29.2,9.1,9.1,9.1
83,29.2,9.1,9.1,9.1
84,29.2,9.1,9.1,9.1
85,29.2,9.1,9.1,9.1
86,29.2,9.1,9.1,9.1
87,29.2,9.1,9.1,9.1
88,29.2,9.1,9.1,9.1
89,29.2,9.1,9.1,9.1
90,29.2,9.1,9.1,9.1
