seconds,APL',R,G,B
0,27.3,7.1,19.0,0.5
1,27.3,7.1,19.0,0.5
2,27.3,7.2,19.1,0.5
3,26.6,6.8,18.1,0.5
4,27.0,6.8,18.6,0.4
5,17.6,7.7,12.0,2.0
6,17.5,7.5,11.8,2.0
7,20.9,11.8,15.7,2.8
8,21.2,12.2,15.9,2.9
9,20.1,11.1,17.6,3.8
10,20.1,11.0,17.5,3.8
11,20.1,11.0,17.5,3.8
12,20.0,11.0,17.5,3.8
13,25.2,8.9,19.5,2.8
14,25.8,16.3,28.6,4.9
15,25.9,16.5,28.8,5.0
16,25.9,16.5,28.7,5.0
17,20.5,9.4,22.4,2.1
18,19.6,6.4,20.6,0.7
19,19.5,6.4,20.6,0.7
20,19.3,6.6,20.2,0.8
21,18.0,7.0,19.8,1.0
22,17.6,9.3,11.5,4.4
23,17.5,9.2,11.4,4.3
24,17.1,6.7,18.5,1.0
25,19.2,7.1,20.9,0.9
26,17.3,9.4,7.8,2.9
27,13.5,7.6,5.7,2.7
28,16.4,9.0,7.7,3.2
29,21.6,8.5,24.5,1.3
30,21.6,8.4,24.4,1.3
31,18.2,5.7,11.5,1.6
32,18.3,5.8,11.6,1.7
33,16.0,11.9,9.2,5.7
34,15.0,11.4,9.0,5.8
35,13.3,8.7,7.1,4.7
36,13.5,9.0,7.2,4.8
37,13.0,8.9,6.8,4.2
38,17.6,11.4,7.6,7.5
39,17.6,12.6,8.9,7.8
40,17.6,12.3,8.6,7.5
41,18.3,13.5,9.4,8.4
42,23.4,17.6,10.9,9.1
43,26.6,20.7,13.4,11.6
44,19.6,14.2,10.2,10.0
45,19.7,14.3,10.3,10.0
46,19.1,13.8,9.9,9.7
47,19.6,14.2,10.2,10.0
48,19.8,14.4,10.3,10.1
49,18.4,13.8,10.0,6.1
50,18.5,13.8,10.0,6.1
51,18.5,13.9,10.1,6.1
52,17.3,12.8,9.6,5.9
53,17.1,12.7,9.5,5.8
54,18.8,14.4,10.7,6.5
55,14.3,10.9,7.8,5.8
56,14.3,10.9,7.8,5.7
57,19.7,14.3,10.3,10.0
58,19.8,14.5,10.4,10.1
59,19.8,14.5,10.3,10.0
60,19.8,14.4,10.3,10.0
61,19.8,14.5,10.3,10.0
62,20.0,14.7,10.6,10.3
63,19.9,14.7,10.6,10.3
64,20.0,14.8,10.6,10.2
65,20.0,14.9,10.6,10.3
