seconds,APL',R,G,B
0,29.2,5.2,5.2,5.2
1,29.2,5.2,5.2,5.2
2,29.2,5.2,5.2,5.2
3,29.2,5.2,5.2,5.2
4,29.2,5.2,5.2,5.2
5,29.2,5.2,5.2,5.2
6,29.2,5.2,5.2,5.2
7,29.2,5.2,5.2,5.2
8,29.2,5.2,5.2,5.2
9,29.2,5.2,5.2,5.2
10,29.2,5.2,5.2,5.2
11,29.2,5.2,5.2,5.2
12,29.2,5.2,5.2,5.2
13,29.2,5.2,5.2,5.2
14,29.2,5.2,5.2,5.2
15,29.2,5.2,5.2,5.2
16,29.2,5.2,5.2,5.2
17,29.2,5.2,5.2,5.2
18,29.2,5.2,5.2,5.2
19,29.2,5.2,5.2,5.2
20,29.2,5.2,5.2,5.2
21,29.2,5.2,5.2,5.2
22,29.2,5.2,5.2,5.2
23,29.2,5.2,5.2,5.2
24,29.2,5.2,5.2,5.2
25,29.2,5.2,5.2,5.2
26,29.2,5.2,5.2,5.2
27,29.2,5.2,5.2,5.2
28,29.2,5.2,5.2,5.2
29,29.2,5.2,5.2,5.2
30,29.2,5.2,5.2,5.2
31,29.2,5.2,5.2,5.2
32,29.2,5.2,5.2,5.2
33,29.2,5.2,5.2,5.2
34,29.2,5.2,5.2,5.2
35,29.2,5.2,5.2,5.2
36,29.2,5.2,5.2,5.2
37,29.2,5.2,5.2,5.2
38,29.2,5.2,5.2,5.2
39,29.2,5.2,5.2,5.2
40,29.2,5.2,5.2,5.2
41,29.2,5.2,5.2,5.2
42,29.2,5.2,5.2,5.2
43,29.2,5.2,5.2,5.2
44,29.2,5.2,5.2,5.2
45,29.2,5.2,5.2,5.2
46,29.2,5.2,5.2,5.2
47,29.2,5.2,5.2,5.2
48,29.2,5.2,5.2,5.2
49,29.2,5.2,5.2,5.2
50,29.2,5.2,5.2,5.2
51,29.2,5.2,5.2,5.2
52,29.2,5.2,5.2,5.2
53,29.2,5.2,5.2,5.2
54,29.2,5.2,5.2,5.2
55,29.2,5.2,5.2,5.2
56,29.2,5.2,5.2,5.2
57,29.2,5.2,5.2,5.2
58,29.2,5.2,5.2,5.2
59,29.2,5.2,5.2,5.2
60,29.2,5.2,5.2,5.2
61,29.2,5.2,5.2,5.2
62,29.2,5.2,5.2,5.2
63,29.2,5.2,5.2,5.2
64,29.2,5.2,5.2,5.2
65,29.2,5.2,5.2,5.2
66,29.2,5.2,5.2,5.2
67,29.2,5.2,5.2,5.2
68,29.2,5.2,5.2,5.2
69,29.2,5.2,5.2,5.2
70,29.2,5.2,5.2,5.2
71,29.2,5.2,5.2,5.2
72,29.2,5.2,5.2,5.2
73,29.2,5.2,5.2,5.2
74,29.2,5.2,5.2,5.2
75,29.2,5.2,5.2,5.2
76,29.2,5.2,5.2,5.2
77,29.2,5.2,5.2,5.2
78,29.2,5.2,5.2,5.2
79,29.2,5.2,5.2,5.2
80,29.2,5.2,5.2,5.2
81,29.2,5.2,5.2,5.2
82,29.2,5.2,5.2,5.2
83,29.2,5.2,5.2,5.2
84,29.2,5.2,5.2,5.2
85,29.2,5.2,5.2,5.2
86,29.2,5.2,5.2,5.2
87,29.2,5.2,5.2,5.2
88,29.2,5.2,5.2,5.2
89,29.2,5.2,5.2,5.2
90,29.2,5.2,5.2,5.2
91,29.2,5.2,5.2,5.2
92,29.2,5.2,5.2,5.2
93,29.2,5.2,5.2,5.2
94,29.2,5.2,5.2,5.2
95,29.2,5.2,5.2,5.2
96,29.2,5.2,5.2,5.2
97,29.2,5.2,5.2,5.2
98,29.2,5.2,5.2,5.2
99,29.2,5.2,5.2,5.2
100,29.2,5.2,5.2,5.2
101,29.2,5.2,5.2,5.2
102,29.2,5.2,5.2,5.2
103,29.2,5.2,5.2,5.2
104,29.2,5.2,5.2,5.2
105,29.2,5.2,5.2,5.2
106,29.2,5.2,5.2,5.2
107,29.2,5.2,5.2,5.2
108,29.2,5.2,5.2,5.2
109,29.2,5.2,5.2,5.2
110,29.2,5.2,5.2,5.2
111,29.2,5.2,5.2,5.2
112,29.2,5.2,5.2,5.2
113,29.2,5.2,5.2,5.2
114,29.2,5.2,5.2,5.2
115,29.2,5.2,5.2,5.2
116,29.2,5.2,5.2,5.2
117,29.2,5.2,5.2,5.2
118,29.2,5.2,5.2,5.2
119,29.2,5.2,5.2,5.2
120,29.2,5.2,5.2,5.2
121,29.2,5.2,5.2,5.2
122,29.2,5.2,5.2,5.2
123,29.2,5.2,5.2,5.2
124,29.2,5.2,5.2,5.2
125,29.2,5.2,5.2,5.2
126,29.2,5.2,5.2,5.2
127,29.2,5.2,5.2,5.2
128,29.2,5.2,5.2,5.2
129,29.2,5.2,5.2,5.2
130,29.2,5.2,5.2,5.2
131,29.2,5.2,5.2,5.2
132,29.2,5.2,5.2,5.2
133,29.2,5.2,5.2,5.2
134,29.2,5.2,5.2,5.2
135,29.2,5.2,5.2,5.2
136,29.2,5.2,5.2,5.2
137,29.2,5.2,5.2,5.2
138,29.2,5.2,5.2,5.2
139,29.2,5.2,5.2,5.2
140,29.2,5.2,5.2,5.2
141,29.2,5.2,5.2,5.2
142,29.2,5.2,5.2,5.2
143,29.2,5.2,5.2,5.2
144,29.2,5.2,5.2,5.2
145,29.2,5.2,5.2,5.2
146,29.2,5.2,5.2,5.2
147,29.2,5.2,5.2,5.2
148,29.2,5.2,5.2,5.2
149,29.2,5.2,5.2,5.2
150,29.2,5.2,5.2,5.2
