time,watts,nits,tag,test_name,test_time,video,preset_picture,abc,backlight,lux,mdd,qs,special_commands,ccf_pps,seconds,APL',R,G,B
2020-08-26 08:38:48,3.55783618201,1.72726276685,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,0.0,34.2,7.3,8.3,7.3
2020-08-26 08:38:49,3.6568501476,1.80805564402,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,1.0,32.7,15.9,6.5,3.3
2020-08-26 08:38:50,3.59007580918,1.80879855569,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,2.0,33.3,17.2,6.8,3.4
2020-08-26 08:38:51,3.53988758336,1.77598276114,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,3.0,33.5,11.1,12.0,13.3
2020-08-26 08:38:52,3.63915732566,1.79160099198,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,4.0,34.2,22.2,15.0,10.4
2020-08-26 08:38:53,3.50429715614,1.6614918863,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,5.0,33.5,10.4,9.2,7.6
2020-08-26 08:38:54,3.57245162401,1.64150032181,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,6.0,33.7,10.6,9.3,7.8
2020-08-26 08:38:55,3.14693603616,1.58025986521,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,7.0,33.8,3.7,8.6,21.0
2020-08-26 08:38:56,3.27243671663,1.46697582329,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,8.0,32.2,3.6,8.0,19.3
2020-08-26 08:38:57,3.55653001536,1.78934018517,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,9.0,32.2,4.1,8.3,19.0
2020-08-26 08:38:58,3.56998208921,1.73600857573,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,10.0,32.2,4.4,8.5,18.8
2020-08-26 08:38:59,3.20017823799,1.5958475396,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,11.0,32.9,4.5,12.1,10.8
2020-08-26 08:39:00,3.8025101074,1.79141405086,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,12.0,33.3,11.7,13.3,12.9
2020-08-26 08:39:01,3.31051287542,1.66350201399,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,13.0,33.4,11.8,13.3,12.8
2020-08-26 08:39:02,3.2842568498,1.75361176101,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,14.0,33.4,27.5,12.6,2.0
2020-08-26 08:39:03,3.19418681964,1.52022800826,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,15.0,31.9,19.9,14.4,6.5
2020-08-26 08:39:04,3.84384816892,1.86358387692,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,16.0,32.2,20.4,14.7,6.7
2020-08-26 08:39:05,3.65717573385,1.67287109146,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,17.0,32.1,20.0,10.1,7.2
2020-08-26 08:39:06,3.56536416836,1.84240897809,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,18.0,31.4,19.6,7.8,7.3
2020-08-26 08:39:07,3.67822343626,1.75474201104,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,19.0,31.0,10.1,6.8,2.3
