time,watts,nits,tag,test_name,test_time,video,preset_picture,abc,backlight,lux,mdd,qs,special_commands,ccf_pps,seconds,APL',R,G,B
8/26/2020 13:07,96.89833462,52.6139202,100.0,new_test,600.0,sdr,aps,off,default_level,,off,,,default,0.0,34.2,7.3,8.3,7.3
8/26/2020 13:07,96.2926956,47.00156162,100.0,new_test,600.0,sdr,aps,off,default_level,,off,,,default,1.0,32.7,15.9,6.5,3.3
8/26/2020 13:07,99.37939778,48.9057128,100.0,new_test,600.0,sdr,aps,off,default_level,,off,,,default,2.0,33.3,17.2,6.8,3.4
8/26/2020 13:07,100.8610551,47.5267917,100.0,new_test,600.0,sdr,aps,off,default_level,,off,,,default,3.0,33.5,11.1,12.0,13.3
8/26/2020 13:07,100.1327789,51.28679452,100.0,new_test,600.0,sdr,aps,off,default_level,,off,,,default,4.0,34.2,22.2,15.0,10.4
8/26/2020 13:07,98.4918165,46.73394088,100.0,new_test,600.0,sdr,aps,off,default_level,,off,,,default,5.0,33.5,10.4,9.2,7.6
8/26/2020 13:07,100.1099754,48.62058109,100.0,new_test,600.0,sdr,aps,off,default_level,,off,,,default,6.0,33.7,10.6,9.3,7.8
8/26/2020 13:07,93.66424359,48.78032913,100.0,new_test,600.0,sdr,aps,off,default_level,,off,,,default,7.0,33.8,3.7,8.6,21.0
8/26/2020 13:07,92.17946688,47.74634976,100.0,new_test,600.0,sdr,aps,off,default_level,,off,,,default,8.0,32.2,3.6,8.0,19.3
8/26/2020 13:07,99.74663466,51.79887628,100.0,new_test,600.0,sdr,aps,off,default_level,,off,,,default,9.0,32.2,4.1,8.3,19.0
8/26/2020 13:07,101.9011804,51.0484584,100.0,new_test,600.0,sdr,aps,off,default_level,,off,,,default,10.0,32.2,4.4,8.5,18.8
8/26/2020 13:07,106.53368,52.17604416,100.0,new_test,600.0,sdr,aps,off,default_level,,off,,,default,11.0,32.9,4.5,12.1,10.8
8/26/2020 13:07,97.35507107,47.32471398,100.0,new_test,600.0,sdr,aps,off,default_level,,off,,,default,12.0,33.3,11.7,13.3,12.9
8/26/2020 13:07,94.24499023,48.55379302,100.0,new_test,600.0,sdr,aps,off,default_level,,off,,,default,13.0,33.4,11.8,13.3,12.8
8/26/2020 13:07,99.99789374,53.48514154,100.0,new_test,600.0,sdr,aps,off,default_level,,off,,,default,14.0,33.4,27.5,12.6,2.0
8/26/2020 13:07,93.91747706,46.01550931,100.0,new_test,600.0,sdr,aps,off,default_level,,off,,,default,15.0,31.9,19.9,14.4,6.5
8/26/2020 13:07,93.65851582,45.48140206,100.0,new_test,600.0,sdr,aps,off,default_level,,off,,,default,16.0,32.2,20.4,14.7,6.7
8/26/2020 13:07,94.30712841,46.67367539,100.0,new_test,600.0,sdr,aps,off,default_level,,off,,,default,17.0,32.1,20.0,10.1,7.2
8/26/2020 13:07,87.3862194,44.49499201,100.0,new_test,600.0,sdr,aps,off,default_level,,off,,,default,18.0,31.4,19.6,7.8,7.3
8/26/2020 13:07,90.5970327,40.22064851,100.0,new_test,600.0,sdr,aps,off,default_level,,off,,,default,19.0,31.0,10.1,6.8,2.3
8/26/2020 13:07,89.2542866,41.71374994,100.0,new_test,600.0,sdr,aps,off,default_level,,off,,,default,20.0,31.7,21.1,11.9,8.5
