time,watts,nits,tag,test_name,test_time,video,preset_picture,abc,backlight,lux,mdd,qs,special_commands,ccf_pps,seconds,APL',R,G,B
2020-08-26 09:04:13,3.50034795919,1.72911312159,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,0.0,34.2,7.3,8.3,7.3
2020-08-26 09:04:14,3.07342500991,1.5988049231,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,1.0,32.7,15.9,6.5,3.3
2020-08-26 09:04:15,3.51166154636,1.83176683274,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,2.0,33.3,17.2,6.8,3.4
2020-08-26 09:04:16,3.35932024273,1.70292847871,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,3.0,33.5,11.1,12.0,13.3
2020-08-26 09:04:17,3.48236554541,1.62434171893,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,4.0,34.2,22.2,15.0,10.4
2020-08-26 09:04:18,3.41642508236,1.66675275572,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,5.0,33.5,10.4,9.2,7.6
2020-08-26 09:04:19,3.73602591764,1.71324524157,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,6.0,33.7,10.6,9.3,7.8
2020-08-26 09:04:20,3.49081881394,1.86981843779,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,7.0,33.8,3.7,8.6,21.0
2020-08-26 09:04:21,3.81410271553,1.7211229683,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,8.0,32.2,3.6,8.0,19.3
2020-08-26 09:04:22,3.50516990528,1.78396293047,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,9.0,32.2,4.1,8.3,19.0
2020-08-26 09:04:23,3.5097734048,1.89640816513,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,10.0,32.2,4.4,8.5,18.8
2020-08-26 09:04:24,3.51821967119,1.85649442654,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,11.0,32.9,4.5,12.1,10.8
2020-08-26 09:04:25,3.31739704228,1.68212794321,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,12.0,33.3,11.7,13.3,12.9
2020-08-26 09:04:26,3.58269326711,1.81237809542,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,13.0,33.4,11.8,13.3,12.8
2020-08-26 09:04:27,3.88858875895,1.79011892543,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,14.0,33.4,27.5,12.6,2.0
2020-08-26 09:04:28,3.34241214819,1.76667142645,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,15.0,31.9,19.9,14.4,6.5
2020-08-26 09:04:29,3.44981737609,1.52509652048,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,16.0,32.2,20.4,14.7,6.7
2020-08-26 09:04:30,3.38460873157,1.52480737463,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,17.0,32.1,20.0,10.1,7.2
2020-08-26 09:04:31,3.29389352994,1.68043007572,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,18.0,31.4,19.6,7.8,7.3
2020-08-26 09:04:32,3.41194162867,1.79788640692,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,19.0,31.0,10.1,6.8,2.3
2020-08-26 09:04:33,3.66163340359,1.93298864926,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,20.0,31.7,21.1,11.9,8.5
2020-08-26 09:04:34,3.41880273995,1.60893303844,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,21.0,30.0,7.2,6.1,6.4
2020-08-26 09:04:35,3.53948239067,1.86025916568,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,22.0,30.7,7.8,6.6,7.0
2020-08-26 09:04:36,3.11743690425,1.51846350946,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,23.0,31.5,8.3,7.1,7.7
2020-08-26 09:04:37,3.53379266451,1.7899554876,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,24.0,32.2,8.8,7.6,8.1
2020-08-26 09:04:38,3.35958140562,1.63973984444,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,25.0,32.6,9.1,7.9,8.5
2020-08-26 09:04:39,3.51799851817,1.72700402737,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,26.0,31.0,6.3,8.1,4.1
2020-08-26 09:04:40,3.33457138622,1.56167532224,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,27.0,31.0,6.4,8.1,4.1
2020-08-26 09:04:41,3.64051617656,1.89449858674,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,28.0,31.3,8.9,7.1,4.4
2020-08-26 09:04:42,3.28726682974,1.50425155617,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,29.0,30.1,18.7,7.4,6.9
2020-08-26 09:04:43,3.59709879579,1.61874241078,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,30.0,30.7,15.6,11.4,10.4
2020-08-26 09:04:44,3.50982107887,1.77837641038,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,31.0,29.8,14.2,10.2,9.1
2020-08-26 09:04:45,3.3829594918,1.72460112498,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,32.0,32.1,11.6,12.0,12.5
2020-08-26 09:04:46,3.37015007501,1.64316429748,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,33.0,28.1,9.2,9.4,10.1
2020-08-26 09:04:47,3.54734430457,1.91865013057,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,34.0,30.0,7.9,6.6,5.1
2020-08-26 09:04:48,3.02769836258,1.56302448424,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,35.0,31.0,8.4,7.2,5.7
2020-08-26 09:04:49,3.44291173366,1.68118814,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,36.0,30.3,7.0,12.2,0.7
2020-08-26 09:04:50,3.53661365569,1.7575127566,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,37.0,32.8,7.9,14.2,0.9
2020-08-26 09:04:51,3.44875228525,1.6825121606,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,38.0,31.3,7.5,13.2,0.8
2020-08-26 09:04:52,3.30603963605,1.64085140708,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,39.0,26.3,5.4,9.1,0.7
2020-08-26 09:04:53,3.21836153248,1.52702530852,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,40.0,29.4,6.0,11.3,0.8
2020-08-26 09:04:54,3.37993156532,1.77107690542,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,41.0,30.6,6.7,12.5,0.8
2020-08-26 09:04:55,3.4838324948,1.582328516,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,42.0,29.0,11.2,9.1,4.9
2020-08-26 09:04:56,3.51676909253,1.59822400287,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,43.0,30.7,12.4,10.0,5.5
2020-08-26 09:04:57,3.33613704962,1.71693913996,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,44.0,28.9,18.0,6.4,2.1
2020-08-26 09:04:58,3.74085504102,1.80486821316,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,45.0,29.9,20.1,6.7,2.3
2020-08-26 09:04:59,3.58025210364,1.79046270816,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,46.0,29.5,11.4,8.2,6.3
2020-08-26 09:05:00,3.28408225173,1.6695002008,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,47.0,28.6,13.1,12.3,9.4
2020-08-26 09:05:01,3.51262417436,1.63965620118,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,48.0,29.3,12.0,6.7,3.2
2020-08-26 09:05:02,3.27028491943,1.67837345491,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,49.0,26.2,10.0,5.6,2.7
2020-08-26 09:05:03,3.56304252548,1.75833714069,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,50.0,27.7,11.1,6.2,3.1
2020-08-26 09:05:04,3.25057419975,1.69295858511,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,51.0,31.2,13.3,8.5,3.9
2020-08-26 09:05:05,3.05603364101,1.58852950746,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,52.0,32.3,14.0,8.6,3.9
2020-08-26 09:05:06,3.86938813432,1.90484024339,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,53.0,27.1,14.6,7.2,8.2
2020-08-26 09:05:07,3.37976307174,1.70660619103,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,54.0,26.5,15.0,11.7,8.7
2020-08-26 09:05:08,3.56631973753,2.02231372118,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,55.0,26.7,16.1,13.0,9.7
2020-08-26 09:05:09,3.34184716422,1.65853619201,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,56.0,27.5,8.7,6.2,4.0
2020-08-26 09:05:10,3.55217732425,1.67109206259,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,57.0,28.3,10.5,9.4,3.6
2020-08-26 09:05:11,3.43357159576,1.63288378283,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,58.0,27.7,6.1,5.6,4.1
2020-08-26 09:05:12,3.42571835343,1.63875756907,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,59.0,27.2,5.8,5.3,3.9
2020-08-26 09:05:13,3.54380777037,1.95549769451,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,60.0,26.6,14.9,7.1,8.0
2020-08-26 09:05:14,3.44891249171,1.86481198442,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,61.0,26.6,10.7,8.1,40.2
2020-08-26 09:05:15,3.07869135161,1.55590727587,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,62.0,29.5,20.3,8.2,31.7
2020-08-26 09:05:16,3.74455995911,1.96555256702,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,63.0,27.1,7.2,6.7,7.2
2020-08-26 09:05:17,3.41438722929,1.81314256189,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,64.0,27.0,4.9,8.9,1.2
2020-08-26 09:05:18,3.42757415992,1.79178335431,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,65.0,25.4,4.6,7.9,1.1
2020-08-26 09:05:19,3.59501942356,1.87263302242,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,66.0,25.9,9.6,7.7,19.0
2020-08-26 09:05:20,3.13182254588,1.53415163618,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,67.0,26.9,8.2,7.9,1.9
2020-08-26 09:05:21,3.26341930112,1.72542317826,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,68.0,25.4,14.5,12.5,6.7
2020-08-26 09:05:22,3.29386471274,1.55971045414,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,69.0,25.5,13.0,12.8,6.9
2020-08-26 09:05:23,3.44599978778,1.72088524228,9.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,70.0,23.1,12.4,11.0,13.7
