,White,Red,Green,Blue
Model,PR-650,PR-650,PR-650,PR-650
Serial #,60981103,60981103,60981103,60981103
Time,2020-07-28 15:41:52,2020-07-28 15:42:21,2020-07-28 15:42:46,2020-07-28 15:43:13
Exposure Time (ms),179,379,289,169
Accessories,MS-75 ,MS-75 ,MS-75 ,MS-75 
Aperture (°),1.0,1.0,1.0,1.0
Bandwidth (nm),10.0,10.0,10.0,10.0
Average Cycles,1,1,1,1
Temperature (°C),25.0,25.0,25.0,25.0
Sync Freq. (Hz),N/A,N/A,N/A,N/A
Speed,N/A,N/A,N/A,N/A
Observer: 2 degrees,,,,
X,3.308e+02,1.594e+02,1.045e+02,1.084e+02
Y,3.443e+02,7.480e+01,2.428e+02,4.130e+01
Z,5.126e+02,4.124e+00,2.983e+01,5.618e+02
CCT,10145.9194,1969.3899,6367.9302,148140.3661
MK⁻¹,98.5618,507.7715,157.0369,6.7504
u-v Dev,0.0022,-0.1588,0.1148,-0.1626
x,0.2785,0.6688,0.2772,0.1523
y,0.2899,0.3139,0.6437,0.0581
u,0.1881,0.4927,0.1090,0.1796
v,0.2937,0.3469,0.3798,0.1027
u',0.1881,0.4927,0.1090,0.1796
v',0.4406,0.5204,0.5696,0.1540
Observer: 10 degrees,,,,
X,3.631e+02,1.605e+02,1.269e+02,1.184e+02
Y,3.727e+02,7.808e+01,2.496e+02,6.329e+01
Z,5.559e+02,4.518e+00,2.767e+01,6.146e+02
CCT,9933.1488,2046.1915,5817.8864,148120.3194
MK⁻¹,100.6730,488.7128,171.8837,6.7513
u-v Dev,-0.0002,-0.1518,0.0989,-0.1360
x,0.2811,0.6602,0.3140,0.1487
y,0.2885,0.3212,0.6175,0.0795
u,0.1906,0.4772,0.1284,0.1627
v,0.2934,0.3482,0.3788,0.1304
u',0.1906,0.4772,0.1284,0.1627
v',0.4401,0.5224,0.5681,0.1956
Radiance (W/sr/m²),1.305e+00,4.606e-01,4.423e-01,5.605e-01
Photon Rad. (photons/sr/m²/sec),N/A,N/A,N/A,N/A
380,1.354e-04,1.568e-05,2.008e-05,4.864e-05
381,1.054e-04,1.309e-05,1.735e-05,5.393e-05
382,7.713e-05,1.066e-05,1.478e-05,5.857e-05
383,5.551e-05,9.151e-06,1.351e-05,5.975e-05
384,4.595e-05,9.485e-06,1.482e-05,5.448e-05
385,4.693e-05,1.125e-05,1.808e-05,4.396e-05
386,5.679e-05,1.407e-05,2.268e-05,2.945e-05
387,6.697e-05,1.637e-05,2.619e-05,1.686e-05
388,6.927e-05,1.671e-05,2.637e-05,1.185e-05
389,6.274e-05,1.489e-05,2.295e-05,1.490e-05
390,4.717e-05,1.091e-05,1.595e-05,2.593e-05
391,3.118e-05,6.799e-06,8.412e-06,3.982e-05
392,2.352e-05,4.645e-06,3.450e-06,5.120e-05
393,2.414e-05,4.485e-06,1.158e-06,6.013e-05
394,3.253e-05,6.229e-06,1.461e-06,6.689e-05
395,4.298e-05,8.478e-06,2.772e-06,7.056e-05
396,4.958e-05,9.775e-06,3.402e-06,7.066e-05
397,5.238e-05,1.013e-05,3.422e-06,6.676e-05
398,5.168e-05,9.620e-06,2.945e-06,5.873e-05
399,4.915e-05,8.643e-06,2.271e-06,5.258e-05
400,4.671e-05,7.662e-06,1.763e-06,5.410e-05
401,4.422e-05,6.644e-06,1.356e-06,6.351e-05
402,4.158e-05,5.568e-06,1.004e-06,8.046e-05
403,4.024e-05,4.668e-06,1.009e-06,9.824e-05
404,4.150e-05,4.157e-06,1.656e-06,1.100e-04
405,4.567e-05,4.065e-06,2.942e-06,1.159e-04
406,5.288e-05,4.393e-06,4.825e-06,1.165e-04
407,6.101e-05,5.000e-06,7.015e-06,1.124e-04
408,6.794e-05,5.725e-06,9.196e-06,1.047e-04
409,7.385e-05,6.548e-06,1.136e-05,9.349e-05
410,7.911e-05,7.443e-06,1.349e-05,7.928e-05
411,8.521e-05,8.232e-06,1.522e-05,6.938e-05
412,9.380e-05,8.746e-06,1.623e-05,7.088e-05
413,1.056e-04,9.046e-06,1.643e-05,8.512e-05
414,1.213e-04,9.228e-06,1.579e-05,1.129e-04
415,1.401e-04,8.887e-06,1.524e-05,1.468e-04
416,1.615e-04,7.703e-06,1.569e-05,1.796e-04
417,1.866e-04,5.609e-06,1.720e-05,2.124e-04
418,2.167e-04,2.598e-06,1.978e-05,2.470e-04
419,2.559e-04,9.426e-07,2.202e-05,2.892e-04
420,3.083e-04,2.783e-06,2.254e-05,3.452e-04
421,3.761e-04,8.245e-06,2.132e-05,4.172e-04
422,4.614e-04,1.722e-05,1.845e-05,5.076e-04
423,5.620e-04,2.621e-05,1.558e-05,6.168e-04
424,6.760e-04,3.172e-05,1.437e-05,7.457e-04
425,8.067e-04,3.365e-05,1.498e-05,8.982e-04
426,9.581e-04,3.217e-05,1.747e-05,1.079e-03
427,1.137e-03,2.974e-05,2.035e-05,1.291e-03
428,1.349e-03,2.892e-05,2.214e-05,1.539e-03
429,1.600e-03,2.975e-05,2.305e-05,1.828e-03
430,1.895e-03,3.215e-05,2.343e-05,2.163e-03
431,2.243e-03,3.603e-05,2.457e-05,2.556e-03
