Test Name,Test Time (s),Video,Avg APL' (%),ABC,Lux,Preset Picture,MDD,QS,Wake Time (s),Avg Luminance (Nits),Avg Power (W)
stabilization1,600,IEC SDR,34.5,off,,aps,off,,,1.7,3.4
stabilization2,600,IEC SDR,34.5,off,,aps,off,,,1.2,2.4
default,600,IEC SDR,34.5,off,,aps,off,,,1.5,3.0
default_100,600,IEC SDR,34.5,on,100.0,aps,off,,,1.5,3.0
default_35,600,IEC SDR,34.5,on,35.0,aps,off,,,1.5,3.0
default_12,600,IEC SDR,34.5,on,12.0,aps,off,,,1.5,3.0
default_3,600,IEC SDR,34.5,on,3.0,aps,off,,,1.5,3.0
brightest,600,IEC SDR,34.5,off,,vivid,off,,,1.8,3.6
brightest_100,600,IEC SDR,34.5,on,100.0,vivid,off,,,1.8,3.6
brightest_35,600,IEC SDR,34.5,on,35.0,vivid,off,,,1.8,3.6
brightest_12,600,IEC SDR,34.5,on,12.0,vivid,off,,,1.8,3.6
brightest_3,600,IEC SDR,34.5,on,3.0,vivid,off,,,1.8,3.6
hdr10,300,CLASP HDR10,28.7,off,,standard,off,,,2.0,3.9
hdr10_100,300,CLASP HDR10,28.7,on,100.0,standard,off,,,1.9,3.9
hdr10_35,300,CLASP HDR10,28.7,on,35.0,standard,off,,,2.0,3.9
hdr10_12,300,CLASP HDR10,28.7,on,12.0,standard,off,,,1.9,3.9
hdr10_3,300,CLASP HDR10,28.7,on,3.0,standard,off,,,2.0,3.9
standby,2400,,0.0,,,,,off,9.0,1.9,3.9
standby_echo,2400,,0.0,,,,,oob,9.0,1.2,2.5
standby_google,2400,,0.0,,,,,oob,9.0,1.6,3.1
