time,watts,nits,tag,test_name,test_time,video,preset_picture,abc,backlight,lux,mdd,qs,special_commands,ccf_pps,seconds,APL',R,G,B,waketime,source
2020-10-21 09:38:24,3.38177485953,1.59689991804,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,0.0,34.2,7.3,8.3,7.3,,mock-datalog.csv
2020-10-21 09:38:25,3.31624681702,1.54186692536,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,1.0,32.7,15.9,6.5,3.3,,mock-datalog.csv
2020-10-21 09:38:26,3.25988380263,1.63265216686,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,2.0,33.3,17.2,6.8,3.4,,mock-datalog.csv
2020-10-21 09:38:27,3.31456656181,1.68723700058,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,3.0,33.5,11.1,12.0,13.3,,mock-datalog.csv
2020-10-21 09:38:28,3.01814443698,1.44350372336,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,4.0,34.2,22.2,15.0,10.4,,mock-datalog.csv
2020-10-21 09:38:29,3.281481998,1.65301529708,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,5.0,33.5,10.4,9.2,7.6,,mock-datalog.csv
2020-10-21 09:38:30,3.31701382053,1.81894920633,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,6.0,33.7,10.6,9.3,7.8,,mock-datalog.csv
2020-10-21 09:38:31,3.19483996016,1.5737944569,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,7.0,33.8,3.7,8.6,21.0,,mock-datalog.csv
2020-10-21 09:38:32,3.08627031309,1.58888566342,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,8.0,32.2,3.6,8.0,19.3,,mock-datalog.csv
2020-10-21 09:38:33,2.9290391654,1.48510729231,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,9.0,32.2,4.1,8.3,19.0,,mock-datalog.csv
2020-10-21 09:38:34,2.97353280062,1.47801028747,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,10.0,32.2,4.4,8.5,18.8,,mock-datalog.csv
2020-10-21 09:38:35,3.12574104682,1.57385335813,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,11.0,32.9,4.5,12.1,10.8,,mock-datalog.csv
2020-10-21 09:38:36,3.22552830266,1.52007607411,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,12.0,33.3,11.7,13.3,12.9,,mock-datalog.csv
2020-10-21 09:38:37,3.04102712838,1.46761756168,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,13.0,33.4,11.8,13.3,12.8,,mock-datalog.csv
2020-10-21 09:38:38,3.10823885078,1.59054771576,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,14.0,33.4,27.5,12.6,2.0,,mock-datalog.csv
2020-10-21 09:38:39,3.03596950461,1.58795881668,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,15.0,31.9,19.9,14.4,6.5,,mock-datalog.csv
2020-10-21 09:38:40,3.12047762424,1.56315840638,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,16.0,32.2,20.4,14.7,6.7,,mock-datalog.csv
2020-10-21 09:38:41,3.0912962426,1.45552766451,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,17.0,32.1,20.0,10.1,7.2,,mock-datalog.csv
2020-10-21 09:38:42,3.15639641312,1.52514800418,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,18.0,31.4,19.6,7.8,7.3,,mock-datalog.csv
2020-10-21 09:38:43,3.05510848954,1.55626110534,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,19.0,31.0,10.1,6.8,2.3,,mock-datalog.csv
2020-10-21 09:38:44,3.37612750425,1.60903340922,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,20.0,31.7,21.1,11.9,8.5,,mock-datalog.csv
2020-10-21 09:38:45,3.12143994325,1.55576722659,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,21.0,30.0,7.2,6.1,6.4,,mock-datalog.csv
2020-10-21 09:38:46,3.27916824006,1.63986453086,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,22.0,30.7,7.8,6.6,7.0,,mock-datalog.csv
2020-10-21 09:38:47,3.14443644684,1.46920419607,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,23.0,31.5,8.3,7.1,7.7,,mock-datalog.csv
2020-10-21 09:38:48,3.19351811027,1.6056767519,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,24.0,32.2,8.8,7.6,8.1,,mock-datalog.csv
2020-10-21 09:38:49,3.11526173909,1.62373894616,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,25.0,32.6,9.1,7.9,8.5,,mock-datalog.csv
2020-10-21 09:38:50,2.96372406774,1.34524177813,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,26.0,31.0,6.3,8.1,4.1,,mock-datalog.csv
2020-10-21 09:38:51,2.87112529817,1.30974210335,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,27.0,31.0,6.4,8.1,4.1,,mock-datalog.csv
2020-10-21 09:38:52,2.97407818684,1.51680443677,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,28.0,31.3,8.9,7.1,4.4,,mock-datalog.csv
2020-10-21 09:38:53,3.22713069177,1.68222542174,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,29.0,30.1,18.7,7.4,6.9,,mock-datalog.csv
2020-10-21 09:38:54,3.0753619547,1.60725213334,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,30.0,30.7,15.6,11.4,10.4,,mock-datalog.csv
2020-10-21 09:38:55,2.898808936,1.4680671377,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,31.0,29.8,14.2,10.2,9.1,,mock-datalog.csv
2020-10-21 09:38:56,3.12328014533,1.62416062474,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,32.0,32.1,11.6,12.0,12.5,,mock-datalog.csv
2020-10-21 09:38:57,3.24735735729,1.69241613303,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,33.0,28.1,9.2,9.4,10.1,,mock-datalog.csv
2020-10-21 09:38:58,3.01339590064,1.67063823766,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,34.0,30.0,7.9,6.6,5.1,,mock-datalog.csv
2020-10-21 09:38:59,3.46118161665,1.8373980095,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,35.0,31.0,8.4,7.2,5.7,,mock-datalog.csv
2020-10-21 09:39:00,3.35704868709,1.70444283524,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,36.0,30.3,7.0,12.2,0.7,,mock-datalog.csv
2020-10-21 09:39:01,3.11344724144,1.52266426569,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,37.0,32.8,7.9,14.2,0.9,,mock-datalog.csv
2020-10-21 09:39:02,2.84835888342,1.34301703675,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,38.0,31.3,7.5,13.2,0.8,,mock-datalog.csv
2020-10-21 09:39:03,3.09603037162,1.53912063157,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,39.0,26.3,5.4,9.1,0.7,,mock-datalog.csv
2020-10-21 09:39:04,3.13856084477,1.47715546325,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,40.0,29.4,6.0,11.3,0.8,,mock-datalog.csv
2020-10-21 09:39:05,3.2612147484,1.6359329211,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,41.0,30.6,6.7,12.5,0.8,,mock-datalog.csv
2020-10-21 09:39:06,2.89062975051,1.39937106506,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,42.0,29.0,11.2,9.1,4.9,,mock-datalog.csv
2020-10-21 09:39:07,2.94543361402,1.35506535873,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,43.0,30.7,12.4,10.0,5.5,,mock-datalog.csv
2020-10-21 09:39:08,3.13675004872,1.60023870218,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,44.0,28.9,18.0,6.4,2.1,,mock-datalog.csv
2020-10-21 09:39:09,3.20277922943,1.58846138354,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,45.0,29.9,20.1,6.7,2.3,,mock-datalog.csv
2020-10-21 09:39:10,3.44888119628,1.7983877953,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,46.0,29.5,11.4,8.2,6.3,,mock-datalog.csv
2020-10-21 09:39:11,3.3035862685,1.55831070305,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,47.0,28.6,13.1,12.3,9.4,,mock-datalog.csv
2020-10-21 09:39:12,3.15091270838,1.43009060566,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,48.0,29.3,12.0,6.7,3.2,,mock-datalog.csv
2020-10-21 09:39:13,3.11449364005,1.5419162191,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,49.0,26.2,10.0,5.6,2.7,,mock-datalog.csv
2020-10-21 09:39:14,3.09565831866,1.60123255304,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,50.0,27.7,11.1,6.2,3.1,,mock-datalog.csv
2020-10-21 09:39:15,3.22519360871,1.51130282525,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,51.0,31.2,13.3,8.5,3.9,,mock-datalog.csv
2020-10-21 09:39:16,3.007117245,1.43006952205,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,52.0,32.3,14.0,8.6,3.9,,mock-datalog.csv
2020-10-21 09:39:17,2.99193651321,1.46634907018,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,53.0,27.1,14.6,7.2,8.2,,mock-datalog.csv
2020-10-21 09:39:18,3.2493537243,1.72696973802,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,54.0,26.5,15.0,11.7,8.7,,mock-datalog.csv
2020-10-21 09:39:19,3.21336161873,1.49121735233,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,55.0,26.7,16.1,13.0,9.7,,mock-datalog.csv
2020-10-21 09:39:20,3.05533514832,1.52246988813,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,56.0,27.5,8.7,6.2,4.0,,mock-datalog.csv
2020-10-21 09:39:21,3.24417013603,1.66253445599,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,57.0,28.3,10.5,9.4,3.6,,mock-datalog.csv
2020-10-21 09:39:22,3.23139194013,1.52511708345,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,58.0,27.7,6.1,5.6,4.1,,mock-datalog.csv
2020-10-21 09:39:23,3.20570884554,1.55774434042,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,59.0,27.2,5.8,5.3,3.9,,mock-datalog.csv
2020-10-21 09:39:24,3.31313357273,1.65256058777,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,60.0,26.6,14.9,7.1,8.0,,mock-datalog.csv
2020-10-21 09:39:25,2.91980228369,1.43442549373,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,61.0,26.6,10.7,8.1,40.2,,mock-datalog.csv
2020-10-21 09:39:26,3.3919750688,1.67355002617,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,62.0,29.5,20.3,8.2,31.7,,mock-datalog.csv
2020-10-21 09:39:27,3.2580505082,1.63246808126,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,63.0,27.1,7.2,6.7,7.2,,mock-datalog.csv
2020-10-21 09:39:28,2.8396603341,1.56587481871,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,64.0,27.0,4.9,8.9,1.2,,mock-datalog.csv
2020-10-21 09:39:29,3.08261855499,1.57608335156,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,65.0,25.4,4.6,7.9,1.1,,mock-datalog.csv
2020-10-21 09:39:30,2.8849850631,1.49914001374,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,66.0,25.9,9.6,7.7,19.0,,mock-datalog.csv
2020-10-21 09:39:31,3.11757840673,1.5758344287,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,67.0,26.9,8.2,7.9,1.9,,mock-datalog.csv
2020-10-21 09:39:32,3.36322693287,1.77530588324,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,68.0,25.4,14.5,12.5,6.7,,mock-datalog.csv
2020-10-21 09:39:33,3.22290919186,1.55005108378,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,69.0,25.5,13.0,12.8,6.9,,mock-datalog.csv
2020-10-21 09:39:34,3.39140729869,1.67785121053,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,70.0,23.1,12.4,11.0,13.7,,mock-datalog.csv
2020-10-21 09:39:35,3.27382323003,1.68270778636,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,71.0,26.0,17.7,13.4,9.5,,mock-datalog.csv
2020-10-21 09:39:36,2.92902811273,1.45304244542,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,72.0,23.6,7.8,8.3,9.2,,mock-datalog.csv
2020-10-21 09:39:37,3.23975454639,1.51136475443,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,73.0,25.4,9.1,9.8,10.7,,mock-datalog.csv
2020-10-21 09:39:38,3.30695986973,1.60765361306,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,74.0,25.4,17.5,18.3,13.5,,mock-datalog.csv
2020-10-21 09:39:39,3.25355076843,1.58022594213,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,75.0,19.8,2.2,3.3,1.2,,mock-datalog.csv
2020-10-21 09:39:40,3.20165936603,1.68045161502,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,76.0,24.3,3.7,5.2,2.2,,mock-datalog.csv
2020-10-21 09:39:41,2.86106606985,1.49239949076,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,77.0,27.3,5.5,7.1,2.9,,mock-datalog.csv
2020-10-21 09:39:42,3.17632936915,1.56793581815,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,78.0,28.5,6.4,8.1,3.3,,mock-datalog.csv
2020-10-21 09:39:43,2.80750122738,1.43427570121,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,79.0,19.9,7.8,6.5,2.3,,mock-datalog.csv
2020-10-21 09:39:44,2.99447904953,1.48377698951,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,80.0,23.9,9.5,7.8,2.9,,mock-datalog.csv
2020-10-21 09:39:45,3.18566035011,1.64685515631,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,81.0,27.2,12.9,10.0,3.5,,mock-datalog.csv
2020-10-21 09:39:46,3.02042390664,1.62747823989,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,82.0,27.5,15.6,11.4,4.0,,mock-datalog.csv
2020-10-21 09:39:47,3.13156983213,1.58027198741,2.1,stabilization1,600.0,sdr,aps,off,default_level,,off,,,default,83.0,25.5,13.5,8.0,12.1,,mock-datalog.csv
