tag,test_name,test_time,preset_picture,video,mdd,abc,lux,qs,watts,nits,APL',waketime
9.1,stabilization1,600.0,standard,sdr,off,off,,,3.5779498069853,1.7904640751393583,34.4563333333333,
9.2,stabilization2,600.0,standard,sdr,off,off,,,3.277813713489396,1.6464063735614949,34.4563333333333,
10.0,default,600.0,standard,sdr,off,off,,,3.011971466588861,1.504662814011496,34.4563333333333,
11.0,default_100,600.0,standard,sdr,off,on,100.0,,3.0070926153043214,1.4989204478179463,34.4563333333333,
12.0,default_35,600.0,standard,sdr,off,on,35.0,,3.005588437498937,1.5050375331839874,34.4563333333333,
13.0,default_12,600.0,standard,sdr,off,on,12.0,,2.998848943368154,1.5013937684134067,34.4563333333333,
14.0,default_3,600.0,standard,sdr,off,on,3.0,,3.0051359381154406,1.5037048406395996,34.4563333333333,
15.0,brightest,600.0,dynamic,sdr,off,off,,,3.6197006724545173,1.8140209992431067,34.4563333333333,
16.0,brightest_100,600.0,dynamic,sdr,off,on,100.0,,3.5948672630286214,1.798193237966676,34.4563333333333,
17.0,brightest_35,600.0,dynamic,sdr,off,on,35.0,,3.603851185514411,1.80468734936565,34.4563333333333,
18.0,brightest_12,600.0,dynamic,sdr,off,on,12.0,,3.6110615208632537,1.8021874037284475,34.4563333333333,
19.0,brightest_3,600.0,dynamic,sdr,off,on,3.0,,3.5980342995122343,1.7937813956414372,34.4563333333333,
20.0,hdr10,300.0,standard,clasp_hdr,off,off,,,3.9193270986458373,1.9566690582925874,28.678666666666675,
21.0,hdr10_100,300.0,standard,clasp_hdr,off,on,100.0,,3.8877990891137273,1.9406176321096245,28.678666666666675,
22.0,hdr10_35,300.0,standard,clasp_hdr,off,on,35.0,,3.903610441134941,1.9530906349315773,28.678666666666675,
23.0,hdr10_12,300.0,standard,clasp_hdr,off,on,12.0,,3.897908904793431,1.9480514296880975,28.678666666666675,
24.0,hdr10_3,300.0,standard,clasp_hdr,off,on,3.0,,3.8921286490743783,1.9555573726997064,28.678666666666675,
25.0,standby,2400.0,,,,,,off,2.9208481579836247,1.4691168983737632,0.0,
27.0,standby_echo,2400.0,,,,,,on,2.998557084725734,1.3861447044973192,0.0,
29.0,standby_google,2400.0,,,,,,on,2.224996860472963,1.0362450327028796,0.0,
