tag,test_name,test_time,preset_picture,video,mdd,abc,lux,qs,watts,nits,APL',waketime
2.1,stabilization1,6.0,standard,sdr,off,off,,,120.0,100.0,33.5666666667,
5.0,standby_google,2400.0,,,,,,off,1.930357324,100.0,0.0,0.0
7.0,default,600.0,standard,sdr,off,off,,,22.9423076923,25.8653846154,31.2038461538,
8.0,default_low_backlight,600.0,standard,sdr,off,off,,,23.3409090909,24.0454545455,31.6204545455,
9.0,brightest,600.0,dynamic,sdr,off,off,,,27.3103448276,28.3448275862,32.3827586207,
9.2,stabilization2,600.0,standard,sdr,off,,,,120.0,100.0,34.4563333333,
10.0,brightest_low_backlight,600.0,dynamic,sdr,off,off,,,120.0,100.0,34.4563333333,
11.0,hdr10,300.0,standard,clasp_hdr,off,off,,,120.0,100.0,28.6786666667,
12.0,hdr10_low_backlight,300.0,standard,clasp_hdr,off,off,,,120.0,100.0,28.6786666667,
13.0,standby,2400.0,,,,,,off,111.875190259,93.196347032,0.0,0.0
14.0,hdr,300.0,standard,clasp_hdr,off,,,,120.0,100.0,28.6786666667,
15.0,hdr_low_backlight,300.0,standard,clasp_hdr,off,,,oob,112.485407066,94.1751152074,13.2159754224,
