seconds,APL',R,G,B
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,10.1,1005.6,1005.6,1005.6
16,10.1,1005.6,1005.6,1005.6
17,10.1,1005.6,1005.6,1005.6
18,10.1,1005.6,1005.6,1005.6
19,10.1,1005.6,1005.6,1005.6
20,10.1,1005.6,1005.6,1005.6
21,10.1,1005.6,1005.6,1005.6
22,10.1,1005.6,1005.6,1005.6
23,10.1,1005.6,1005.6,1005.6
24,10.1,1005.6,1005.6,1005.6
