seconds,APL',R,G,B
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,50.0,4549.1,4949.1,4353.9
16,50.0,4547.4,4951.5,4351.3
17,50.0,4547.4,4951.5,4351.3
18,50.0,4547.4,4951.5,4351.3
19,50.0,4547.4,4951.5,4351.3
20,50.0,4548.2,4950.9,4351.4
21,50.0,4547.5,4951.5,4351.3
22,50.0,4547.5,4951.5,4351.3
23,50.0,4547.5,4951.5,4351.3
24,50.0,4547.5,4951.4,4351.2
