seconds,APL',R,G,B
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,50.2,48.8,49.9,48.3
16,50.2,48.8,49.9,48.3
17,50.1,48.8,49.9,48.2
18,50.1,48.8,49.9,48.2
19,50.1,48.8,49.9,48.2
20,50.1,48.8,49.9,48.2
21,50.1,48.8,49.9,48.2
22,50.1,48.8,49.9,48.2
23,50.1,48.8,49.9,48.2
24,50.1,48.8,49.9,48.2
