seconds,APL',R,G,B
0,34.2,7.3,8.3,7.3
1,32.7,15.9,6.5,3.3
2,33.3,17.2,6.8,3.4
3,33.5,11.1,12.0,13.3
4,34.2,22.2,15.0,10.4
5,33.5,10.4,9.2,7.6
6,33.7,10.6,9.3,7.8
7,33.8,3.7,8.6,21.0
8,32.2,3.6,8.0,19.3
9,32.2,4.1,8.3,19.0
10,32.2,4.4,8.5,18.8
11,32.9,4.5,12.1,10.8
12,33.3,11.7,13.3,12.9
13,33.4,11.8,13.3,12.8
14,33.4,27.5,12.6,2.0
15,31.9,19.9,14.4,6.5
16,32.2,20.4,14.7,6.7
17,32.1,20.0,10.1,7.2
18,31.4,19.6,7.8,7.3
19,31.0,10.1,6.8,2.3
20,31.7,21.1,11.9,8.5
21,30.0,7.2,6.1,6.4
22,30.7,7.8,6.6,7.0
23,31.5,8.3,7.1,7.7
24,32.2,8.8,7.6,8.1
25,32.6,9.1,7.9,8.5
26,31.0,6.3,8.1,4.1
27,31.0,6.4,8.1,4.1
28,31.3,8.9,7.1,4.4
29,30.1,18.7,7.4,6.9
30,30.7,15.6,11.4,10.4
31,29.8,14.2,10.2,9.1
32,32.1,11.6,12.0,12.5
33,28.1,9.2,9.4,10.1
34,30.0,7.9,6.6,5.1
35,31.0,8.4,7.2,5.7
36,30.3,7.0,12.2,0.7
37,32.8,7.9,14.2,0.9
38,31.3,7.5,13.2,0.8
39,26.3,5.4,9.1,0.7
40,29.4,6.0,11.3,0.8
41,30.6,6.7,12.5,0.8
42,29.0,11.2,9.1,4.9
43,30.7,12.4,10.0,5.5
44,28.9,18.0,6.4,2.1
45,29.9,20.1,6.7,2.3
46,29.5,11.4,8.2,6.3
47,28.6,13.1,12.3,9.4
48,29.3,12.0,6.7,3.2
49,26.2,10.0,5.6,2.7
50,27.7,11.1,6.2,3.1
51,31.2,13.3,8.5,3.9
52,32.3,14.0,8.6,3.9
53,27.1,14.6,7.2,8.2
54,26.5,15.0,11.7,8.7
55,26.7,16.1,13.0,9.7
56,27.5,8.7,6.2,4.0
57,28.3,10.5,9.4,3.6
58,27.7,6.1,5.6,4.1
59,27.2,5.8,5.3,3.9
60,26.6,14.9,7.1,8.0
61,26.6,10.7,8.1,40.2
62,29.5,20.3,8.2,31.7
63,27.1,7.2,6.7,7.2
64,27.0,4.9,8.9,1.2
65,25.4,4.6,7.9,1.1
66,25.9,9.6,7.7,19.0
67,26.9,8.2,7.9,1.9
68,25.4,14.5,12.5,6.7
69,25.5,13.0,12.8,6.9
70,23.1,12.4,11.0,13.7
71,26.0,17.7,13.4,9.5
72,23.6,7.8,8.3,9.2
73,25.4,9.1,9.8,10.7
74,25.4,17.5,18.3,13.5
75,19.8,2.2,3.3,1.2
76,24.3,3.7,5.2,2.2
77,27.3,5.5,7.1,2.9
78,28.5,6.4,8.1,3.3
79,19.9,7.8,6.5,2.3
80,23.9,9.5,7.8,2.9
81,27.2,12.9,10.0,3.5
82,27.5,15.6,11.4,4.0
83,25.5,13.5,8.0,12.1
84,25.0,12.1,7.0,11.3
85,24.3,11.6,6.7,10.9
86,24.2,2.9,5.3,4.5
87,23.7,12.7,7.0,6.7
88,24.8,13.6,7.7,7.1
89,28.3,7.6,3.6,19.8
90,23.3,9.1,5.7,6.0
91,23.0,8.8,5.6,5.9
92,23.1,11.1,9.9,11.5
93,22.1,10.9,10.4,11.1
94,25.6,3.1,7.7,1.2
95,21.8,2.3,6.3,0.9
